date,number
2021-4-1,4529528
2021-4-2,3308632
2021-4-3,3126960
2021-4-4,2759426
2021-4-5,2855648
2021-4-6,4190968
2021-4-7,4300036
2021-4-8,4324858
2021-4-9,4683534
2021-4-10,3710166
2021-4-11,3221402
2021-4-12,4222132
2021-4-13,4299008
2021-4-14,4339006
2021-4-15,4358532
2021-4-16,4722190
2021-4-17,3790472
2021-4-18,3092552
2021-4-19,4152632
2021-4-20,4302952
2021-4-21,4373240
2021-4-22,4429418
2021-4-23,4768162
2021-4-24,3984748
2021-4-25,3184162
2021-4-26,4198154
2021-4-27,4261566
2021-4-28,4418936
2021-4-29,4463518
2021-4-30,4029838
