date,number
2021-03-01,3114812
2021-03-02,4284908
2021-03-03,4316286
2021-03-04,4356914
2021-03-05,4742344
2021-03-06,3410982
2021-03-07,2960186
2021-03-08,4228536
2021-03-09,4311272
2021-03-10,4388660
2021-03-11,4410286
2021-03-12,4757822
2021-03-13,3815496
2021-03-14,3249840
2021-03-15,4211482
2021-03-16,4328192
2021-03-17,4371818
2021-03-18,4377104
2021-03-19,4731872
2021-03-20,3794456
2021-03-21,3020966
2021-03-22,4164342
2021-03-23,4305062
2021-03-24,4369398
2021-03-25,4435448
2021-03-26,4800600
2021-03-27,3787630
2021-03-28,3181222
2021-03-29,4256228
2021-03-30,4319192
2021-03-31,4458918
