date,number
2020-04-01,3691286
2020-04-02,1925746
2020-04-03,1811408
2020-04-04,1616384
2020-04-05,1694628
2020-04-06,3373348
2020-04-07,3377140
2020-04-08,3391162
2020-04-09,3393094
2020-04-10,3670140
2020-04-11,2262054
2020-04-12,1805336
2020-04-13,3367558
2020-04-14,3429182
2020-04-15,3494192
2020-04-16,3506674
2020-04-17,3752894
2020-04-18,2512672
2020-04-19,2024028
2020-04-20,3430910
2020-04-21,3450692
2020-04-22,3504826
2020-04-23,3577420
2020-04-24,3781070
2020-04-25,2393334
2020-04-26,1911078
2020-04-27,3470152
2020-04-28,3594048
2020-04-29,3661230
2020-04-30,3802876
