日期,人數
2019-02-01,4533790
2019-02-02,3228454
2019-02-03,2543296
2019-02-04,1593850
2019-02-05,2823086
2019-02-06,2993262
2019-02-07,3497488
2019-02-08,3479660
2019-02-09,3473416
2019-02-10,3197842
2019-02-11,4232890
2019-02-12,4407478
2019-02-13,4493326
2019-02-14,4660898
2019-02-15,5024290
2019-02-16,4698608
2019-02-17,4034082
2019-02-18,4535644
2019-02-19,4588756
2019-02-20,4610998
2019-02-21,4598100
2019-02-22,4804326
2019-02-23,4764224
2019-02-24,3364272
2019-02-25,4448938
2019-02-26,4545566
2019-02-27,4864366
2019-02-28,3901386
