date,number
2019-01-01,3253426
2019-01-02,4503754
2019-01-03,4535712
2019-01-04,4895484
2019-01-05,3898924
2019-01-06,3112096
2019-01-07,4369514
2019-01-08,4442016
2019-01-09,4487572
2019-01-10,4578922
2019-01-11,4987334
2019-01-12,4145706
2019-01-13,3544872
2019-01-14,4382830
2019-01-15,4459620
2019-01-16,4484306
2019-01-17,4536280
2019-01-18,5050512
2019-01-19,4699610
2019-01-20,3680012
2019-01-21,4478602
2019-01-22,4505894
2019-01-23,4626552
2019-01-24,4662962
2019-01-25,5019958
2019-01-26,4342526
2019-01-27,3788190
2019-01-28,4602440
2019-01-29,4569728
2019-01-30,4635736
2019-01-31,4598922
