date,number
2019-03-01,4089896
2019-03-02,4107278
2019-03-03,3079812
2019-03-04,4372962
2019-03-05,4503094
2019-03-06,4551002
2019-03-07,4613928
2019-03-08,5062036
2019-03-09,4092360
2019-03-10,3408760
2019-03-11,4466472
2019-03-12,4594554
2019-03-13,4612396
2019-03-14,4600992
2019-03-15,5065086
2019-03-16,4366680
2019-03-17,3727468
2019-03-18,4485708
2019-03-19,4519506
2019-03-20,4562570
2019-03-21,4573126
2019-03-22,4941964
2019-03-23,4101834
2019-03-24,3327614
2019-03-25,4381572
2019-03-26,4548056
2019-03-27,4606578
2019-03-28,4635148
2019-03-29,4938756
2019-03-30,4151822
2019-03-31,3376326
