date,number
2019-05-01,3704960
2019-05-02,4641156
2019-05-03,5068764
2019-05-04,4173728
2019-05-05,3638910
2019-05-06,4454912
2019-05-07,4472292
2019-05-08,4507530
2019-05-09,4565998
2019-05-10,4964512
2019-05-11,3969016
2019-05-12,3322280
2019-05-13,4321964
2019-05-14,4391730
2019-05-15,4473790
2019-05-16,4475796
2019-05-17,4918130
2019-05-18,4214160
2019-05-19,3645484
2019-05-20,4221990
2019-05-21,4414846
2019-05-22,4447880
2019-05-23,4477900
2019-05-24,4888876
2019-05-25,4249364
2019-05-26,3498320
2019-05-27,4268500
2019-05-28,4352940
2019-05-29,4550678
2019-05-30,4583688
2019-05-31,4960544
