日期,人數
2020-02-01,3382536
2020-02-02,2969840
2020-02-03,4041662
2020-02-04,4029038
2020-02-05,4052462
2020-02-06,4102626
2020-02-07,4234028
2020-02-08,2982190
2020-02-09,2605582
2020-02-10,3862850
2020-02-11,3916070
2020-02-12,4034204
2020-02-13,4004694
2020-02-14,4291674
2020-02-15,3862848
2020-02-16,2629582
2020-02-17,3812802
2020-02-18,3919528
2020-02-19,3987168
2020-02-20,3973090
2020-02-21,4166024
2020-02-22,3132982
2020-02-23,2647340
2020-02-24,3817386
2020-02-25,4025816
2020-02-26,4047930
2020-02-27,4230710
2020-02-28,2723148
2020-02-29,2694648
