日期,人數
2020-05-01,2903440
2020-05-02,2479534
2020-05-03,2155318
2020-05-04,3574096
2020-05-05,3676036
2020-05-06,3730324
2020-05-07,3752950
2020-05-08,4084814
2020-05-09,2732994
2020-05-10,2171418
2020-05-11,3659888
2020-05-12,3718390
2020-05-13,3833346
2020-05-14,3816936
2020-05-15,4198856
2020-05-16,2842018
2020-05-17,2413038
2020-05-18,3677894
2020-05-19,3779634
2020-05-20,3914882
2020-05-21,3891002
2020-05-22,4122946
2020-05-23,2838160
2020-05-24,2631336
2020-05-25,3799130
2020-05-26,3850778
2020-05-27,3961552
2020-05-28,3920416
2020-05-29,4276688
2020-05-30,3218922
2020-05-31,2689262
